date,close,open,high,low,volume
2014-01-07,19.287034,19.439981,19.498552,19.211588,317731381.731382
2014-01-08,19.409266,19.243195,19.484266,19.238909,258746998.746999
2014-01-09,19.161374,19.528552,19.530695,19.119627,279621075.621076
2014-01-10,19.033552,19.279624,19.314266,18.968195,305282961.282961
2014-01-13,19.133195,18.925338,19.374981,18.924267,379443751.443751
2014-01-14,19.513909,19.222124,19.526052,19.202124,334937818.937819
2014-01-15,19.905694,19.768552,20.007123,19.702123,393890869.89087
2014-01-16,19.794623,19.817837,19.88748,19.702837,229885549.88555
2014-01-17,19.309624,19.695695,19.716766,19.282124,433707189.70719
2014-01-21,19.609623,19.321052,19.645337,19.300695,329022505.022505
2014-01-22,19.696766,19.675505,19.903194,19.564623,380877716.877717
2014-01-23,19.863552,19.640695,19.87498,19.457352,403913787.913788
2014-01-24,19.50248,19.785695,19.843552,19.455338,433538181.538182
2014-01-27,19.660695,19.645337,19.814266,19.491052,576877184.877185
2014-01-28,18.089268,18.169982,18.392839,17.931053,1067335391.335391
2014-01-29,17.883911,17.998196,18.120339,17.807839,503771687.771688
2014-01-30,17.849339,17.947839,18.089268,17.739268,679051835.051835
2014-01-31,17.878554,17.684982,17.911768,17.626768,465346241.346241
2014-02-03,17.911768,17.950339,18.133196,17.832125,402483490.48349
2014-02-04,18.171053,18.066053,18.194982,17.955696,377094549.094549
2014-02-05,18.306767,18.09141,18.402839,18.080407,329288953.288953
2014-02-06,18.30391,18.21641,18.339267,18.136053,257989149.98915
2014-02-07,18.559981,18.620696,18.676049,18.477839,374554778.554779
2014-02-10,18.892481,18.523553,18.999624,18.499982,345804433.804434
2014-02-11,19.141409,18.950338,19.205338,18.910695,282689290.689291
2014-02-12,19.139981,19.176767,19.269981,19.044267,308508564.508565
2014-02-13,19.443909,19.094981,19.458909,19.078552,307840931.840932
2014-02-14,19.428195,19.373909,19.499263,19.328909,273872417.872418
2014-02-18,19.499623,19.499981,19.685337,19.486052,261225253.225253
2014-02-19,19.191767,19.455338,19.531766,19.083909,314217994.217994
2014-02-20,18.969624,19.035338,19.178552,18.892838,306116718.116718
2014-02-21,18.75891,19.028292,19.091767,18.735696,279029267.029267
2014-02-24,18.841053,18.68391,18.925692,18.657838,289460089.460089
2014-02-25,18.644981,18.90641,18.913017,18.607124,232989632.989633
2014-02-26,18.476767,18.700338,18.749981,18.414267,276525420.525421
2014-02-27,18.845338,18.469267,18.884981,18.430339,302229586.229586
2014-02-28,18.794267,18.895695,19.026767,18.647124,372298984.298984
2014-03-03,18.848553,18.693553,18.951767,18.671767,239138215.138215
2014-03-04,18.972838,18.964267,19.022838,18.84891,259539595.539596
2014-03-05,19.012838,18.96141,19.098195,18.897481,200262276.262276
2014-03-06,18.955338,19.028195,19.08712,18.860695,185692629.69263
2014-03-07,18.944267,18.967481,18.999267,18.787481,221661185.661186
2014-03-10,18.96141,18.869981,19.047481,18.869235,178765898.765899
2014-03-11,19.146052,19.123195,19.240695,19.021052,280795676.795677
2014-03-12,19.164624,19.089624,19.191052,18.999981,200782040.782041
2014-03-13,18.951767,19.194267,19.273552,18.898553,257742693.742694
2014-03-14,18.73891,18.885338,18.960338,18.678553,237198205.198205
2014-03-17,18.812124,18.84641,18.927481,18.780338,199544495.544496
2014-03-18,18.978552,18.782124,18.99891,18.757128,209647661.647662
2014-03-19,18.973552,19.009267,19.151409,18.892838,224756056.756057
2014-03-20,18.882124,18.924624,19.02391,18.83391,208398356.398356
2014-03-21,19.031052,18.997481,19.062481,18.797481,374449050.44905
2014-03-24,19.256766,19.229266,19.303552,19.109267,355699839.69984
2014-03-25,19.463909,19.339266,19.491052,19.271052,282293706.293706
2014-03-26,19.277838,19.518552,19.607123,19.244981,299769195.769196
2014-03-27,19.194981,19.286231,19.339266,19.111413,222030926.030926
2014-03-28,19.173552,19.225695,19.247834,19.080338,200564452.564453
2014-03-31,19.169267,19.258195,19.314624,19.140338,168668920.668921
2014-04-01,19.344624,19.205695,19.352481,19.170338,200758940.758941
2014-04-02,19.376766,19.370695,19.409981,19.294981,180419664.419664
2014-04-03,19.242481,19.335338,19.374981,19.201409,162592606.592607
2014-04-04,18.993552,19.278909,19.285695,18.949267,275250215.250215
2014-04-07,18.695338,18.857838,18.960695,18.63891,289850409.85041
2014-04-08,18.694267,18.756767,18.789981,18.524985,243887775.887776
2014-04-09,18.939981,18.665696,18.946052,18.643553,206171094.171094
2014-04-10,18.695696,18.952838,19.008552,18.684624,239651511.651512
2014-04-11,18.557481,18.535696,18.672481,18.469267,271900319.90032
2014-04-14,18.63141,18.639267,18.648553,18.471767,205780913.780914
2014-04-15,18.498549,18.581053,18.629981,18.261767,266490574.490574
2014-04-16,18.536053,18.501767,18.610339,18.36196,214932190.932191
2014-04-17,18.747838,18.57141,18.848553,18.542839,284427168.427168
2014-04-21,18.970338,18.762124,19.004981,18.712838,182675906.675907
2014-04-22,18.989231,18.868195,18.993767,18.803588,202658014.658015
2014-04-23,18.741053,18.894981,18.96891,18.730338,394941430.941431
2014-04-24,20.27748,20.293194,20.357123,20.026051,759913087.913088
2014-04-25,20.426408,20.161766,20.428194,20.141408,390275646.275646
2014-04-28,21.217479,20.457122,21.276764,20.448194,669487389.487389
2014-04-29,21.154622,21.204979,21.284979,21.053908,337379029.379029
2014-04-30,21.074622,21.165693,21.408193,21.064265,456883988.883989
2014-05-01,21.124265,21.142836,21.242836,20.941408,244209916.209916
2014-05-02,21.16355,21.154979,21.221407,21.06105,191514479.51448
2014-05-05,21.462836,21.076407,21.464264,21.071408,287067319.067319
2014-05-06,21.228907,21.492836,21.586046,21.228907,374565866.565867
2014-05-07,21.154622,21.258907,21.331764,20.990336,282864234.864235
2014-05-08,20.999622,21.008908,21.228907,20.942836,230297682.297682
2014-05-09,20.912211,20.876408,20.937479,20.726051,291598283.598284
2014-05-12,21.172479,20.981765,21.202122,20.97855,213298921.298921
2014-05-13,21.205693,21.142836,21.23355,21.096407,159738535.738536
2014-05-14,21.209622,21.158193,21.335693,21.13355,166403550.40355
2014-05-15,21.029265,21.239264,21.307122,21.001408,230847154.847155
2014-05-16,21.339622,21.022479,21.340336,20.907122,276367612.367612
2014-05-19,21.592478,21.351764,21.690335,21.333193,317756413.756414
2014-05-20,21.596764,21.589621,21.657121,21.454621,234836178.836179
2014-05-21,21.653907,21.565336,21.667835,21.502121,196999852.999853
2014-05-22,21.688193,21.664264,21.780335,21.574978,200875980.875981
2014-05-23,21.933192,21.687478,21.954596,21.659621,232210196.210196
2014-05-27,22.343906,21.995692,22.352121,21.986764,348866768.866769
2014-05-28,22.286049,22.357835,22.493906,22.277835,315687855.687856
2014-05-29,22.69212,22.423192,22.745334,22.420335,376474908.474908
2014-05-30,22.60712,22.784977,23.006048,22.460692,564021112.021112
2014-06-02,22.451763,22.641406,22.672477,22.232121,369351981.351981
2014-06-03,22.769263,22.444978,22.81212,22.437478,292926772.926773
2014-06-04,23.029263,22.765692,23.138905,22.718192,335482419.482419
2014-06-05,23.11962,23.078548,23.191759,22.950334,303804867.804868
2014-06-06,23.056048,23.210691,23.259262,23.016763,350483994.483994
2014-06-09,23.425,23.175,23.47,22.9375,301659216.0
2014-06-10,23.5625,23.6825,23.7625,23.3925,251108168.0
2014-06-11,23.465,23.5325,23.69,23.3675,182724456.0
2014-06-12,23.0725,23.51,23.53,22.975,218995164.0
2014-06-13,22.82,23.05,23.11,22.72,218101120.0
2014-06-16,23.05,22.8775,23.1875,22.8625,142245080.0
2014-06-17,23.02,23.0775,23.175,22.95,118905388.0
2014-06-18,23.045,23.0675,23.0725,22.8375,134056432.0
2014-06-19,22.965,23.0725,23.075,22.834725,142110744.0
2014-06-20,22.7275,22.9625,23.1375,22.725,403592264.0
2014-06-23,22.7075,22.83,22.905,22.65,174777564.0
2014-06-24,22.57,22.6875,22.935,22.5475,156144348.0
2014-06-25,22.59,22.5525,22.675,22.4125,147474164.0
2014-06-26,22.725,22.5925,22.7625,22.45,130517436.0
2014-06-27,22.995,22.705,23.0,22.6925,256115212.0
2014-06-30,23.2325,23.025,23.43125,23.0225,198356112.0
2014-07-01,23.38,23.38,23.5175,23.2825,152893908.0
2014-07-02,23.37,23.46625,23.515,23.2725,113860292.0
2014-07-03,23.5075,23.4175,23.525,23.3,91567012.0
2014-07-07,23.992,23.535,23.9975,23.525,225871756.0
2014-07-08,23.8375,24.0675,24.2,23.48,260886712.0
2014-07-09,23.8475,23.86,23.9875,23.69,145745760.0
2014-07-10,23.75875,23.44,23.8875,23.38,158742208.0
2014-07-11,23.805,23.84,23.9725,23.715625,136072912.0
2014-07-14,24.1125,23.965,24.2225,23.9125,171240620.0
2014-07-15,23.83,24.2,24.2125,23.7575,182784704.0
2014-07-16,23.695,24.2425,24.275,23.685,214009660.0
2014-07-17,23.272475,23.7575,23.81975,23.1425,229192972.0
2014-07-18,23.6075,23.405,23.685,23.255,199950372.0
2014-07-21,23.48475,23.7475,23.75,23.43,156316008.0
2014-07-22,23.68,23.67,23.7225,23.53,220786388.0
2014-07-23,24.2975,23.855,24.47,23.7925,371670876.0
2014-07-24,24.2575,24.25875,24.33,24.105,182915372.0
2014-07-25,24.41775,24.2125,24.46,24.16,173876468.0
2014-07-28,24.755,24.455,24.81,24.3875,221270756.0
2014-07-29,24.595,24.8325,24.86,24.5625,172572380.0
2014-07-30,24.5375,24.61,24.675,24.4175,132040004.0
